category	document	clause	anchor	scenario	guidance
registration	data_protection_act	28(2)(c)	consented to the collection from another source	a registrar proposes obtaining information from another source with consent	Confirm the patient's consent covers collection from that source and use the approved collection process.
registration	data_protection_act	29(a)	the rights of data subject specified under section 26	a registration notice omits patient data rights	Include information about the patient's data rights in the pre-collection notice where practicable.
registration	data_protection_act	29(b)	the fact that personal data is being collected	a registration process silently collects personal information	Make the collection apparent to the patient before collecting the information where practicable.
registration	data_protection_act	29(c)	the purpose for which the personal data is being collected	a patient asks the purpose of a registration request	Explain the collection purpose before collecting the requested information where practicable.
registration	data_protection_act	29(d)	the third parties whose personal data has been or will be transferred	a registration notice leaves out recipients and safeguards	Have the responsible team include the relevant third-party transfer information and safeguards in the notice.
registration	data_protection_act	29(e)	the contacts of the data controller or data processor	a patient cannot identify whom to contact about registration data	Provide the responsible controller or processor contact information and explain whether another entity may receive the data.
registration	data_protection_act	29(f)	a description of the technical and organizational security measures	a patient asks how collected registration information is protected	Provide the approved description of organizational and technical safeguards rather than inventing security guarantees.
registration	data_protection_act	29(g)	whether such collection is voluntary or mandatory	a patient asks whether a registration field is compulsory	Explain the applicable basis and whether collection is voluntary or mandatory; refer uncertain requirements to the responsible team.
registration	data_protection_act	29(h)	the consequences if any, where the data subject fails to provide	a patient asks what happens if information is not supplied	Explain the documented consequences of not supplying the requested information rather than inventing penalties or denying care automatically.
access	data_protection_act	41(1)(a)	implement the data protection principles in an effective manner	a system is being designed to handle patient information	Include effective data-protection measures in the system design and refer the design to the responsible data team.
access	data_protection_act	41(1)(b)	integrate necessary safeguards for that purpose into the processing	a workflow adds a new patient-data processing step	Integrate the necessary safeguards into the processing step rather than adding them only after deployment.
access	data_protection_act	41(2)	both at the time of the determination of the means	a team plans to review privacy only after launch	Review safeguards when choosing how to process data and while the processing operates.
access	data_protection_act	41(3)(a)	the amount of personal data collected	a system enables every registration field by default	Review default collection settings so only data necessary for the specific purpose is processed.
access	data_protection_act	41(3)(b)	the extent of its processing	a system enables broad secondary processing by default	Limit default processing to what is necessary for each specified purpose.
access	data_protection_act	41(3)(c)	the period of its storage	a system has no default retention setting	Have the data owner configure purpose-appropriate storage periods within the approved retention process.
access	data_protection_act	41(3)(d)	its accessibility	a patient-data system grants broad access by default	Have the access owner limit default accessibility to what is necessary for the specified processing purpose.
access	data_protection_act	41(4)(a)	identify reasonably foreseeable internal and external risks	a system access review begins	Identify reasonably foreseeable internal and external risks to the patient information under the facility's control.
access	data_protection_act	41(4)(b)	establish and maintain appropriate safeguards	a security review identifies a patient-data risk	Have the responsible team establish and maintain safeguards proportionate to the identified risk.
access	data_protection_act	41(4)(c)	pseudonymisation and encryption of personal data	a team chooses safeguards for patient information	Consider pseudonymisation and encryption as part of the responsible team's security assessment; do not claim they remove every risk.
access	data_protection_act	41(4)(d)	restore the availability and access to personal data	a technical incident interrupts record access	Escalate to the recovery team to restore availability and access in a timely manner under the approved recovery process.
access	data_protection_act	41(4)(e)	verify that the safeguards are effectively implemented	a security control has been documented but not checked	Verify that the safeguards are actually implemented effectively rather than relying only on a written policy.
access	data_protection_act	41(4)(f)	continually updated in response to new risks	a new weakness affects a patient-data system	Refer the weakness for assessment and update safeguards in response to the new risk or deficiency.
access	data_protection_act	42(1)(a)	the state of technological development available	a team selects network security measures	Have the responsible team consider available technology when selecting appropriate security measures.
access	data_protection_act	42(1)(b)	the cost of implementing any of the security measures	a team compares security implementation options	Include implementation cost in the security assessment alongside data sensitivity and processing risks; cost alone does not determine suitability.
access	data_protection_act	42(1)(c)	the special risks that exist in the processing	a data-transfer workflow is assessed for security	Assess the specific risks of the processing when choosing organizational and technical measures.
access	data_protection_act	42(1)(d)	the nature of the data being processed	a generic security configuration is proposed for health records	Consider the nature of the patient data rather than assuming a generic configuration is suitable.
access	data_protection_act	42(2)(a)	processor who provides sufficient guarantees	a vendor is proposed to process patient information	Have the controller assess whether the processor provides sufficient organizational safeguards before engagement.
access	data_protection_act	42(2)(b)	the data controller and the data processor shall enter into a written contract	a vendor asks to start processing without written terms	Refer the engagement for a written controller-processor contract that limits processing to the controller's instructions and obligations.
access	data_protection_act	42(3)	processes personal data other than as instructed	a processor proposes using patient data outside instructions	Stop and escalate the proposed deviation to the controller; the Act changes the processor's role for processing beyond instructions.
access	data_protection_act	42(4)	any person employed by or acting under the authority	a contractor handles patient information	Ensure people acting under the controller's or processor's authority follow the relevant security measures.
access	data_protection_general_regulations	9(1)(a)	the purposes of the processing	a patient-access request asks why records are processed	Include the processing purposes in the response prepared by the responsible data-access team.
access	data_protection_general_regulations	9(1)(b)	the categories of personal data concerned	a patient-access request asks which data categories are held	Have the responsible team provide the categories of personal information concerned.
access	data_protection_general_regulations	9(1)(c)	the recipients or categories of recipient	a patient asks who receives their information	Have the responsible team identify recipients or recipient categories, including those in other countries or territories.
access	data_protection_general_regulations	9(1)(d)	the envisaged period for which the personal data may be stored	a patient asks how long their information is retained	Provide the envisaged storage period where possible, or the criteria used to determine it, through the responsible data team.
escalation	health_act	7(1)	Every person has the right to emergency medical treatment	a person needs emergency help at the facility	Alert the qualified emergency-care team promptly and facilitate access to emergency treatment; administrative staff must not diagnose or assign clinical priority.
escalation	health_act	7(2)(c)	arranging for referral in cases where the health provider	the first provider lacks capacity to stabilize a patient	Escalate to the healthcare provider to arrange the necessary referral; administrative staff support coordination and do not decide clinical suitability.
escalation	health_act	9(1)(d)	the patient is being treated in an emergency situation	staff are uncertain about consent paperwork during an emergency	Escalate the consent question immediately to the treating healthcare provider; reception must not independently delay emergency care or decide a consent exception.
escalation	health_act	12(2)(a)	within their scope of practice and ability	a receptionist is asked to make a clinical decision	Refer the decision to an appropriately qualified healthcare provider and remain within the administrative role.
escalation	health_act	14(1)	right to file a complaint about the manner	a patient wants to complain about treatment at the facility	Explain the facility's complaint route and facilitate appropriate investigation rather than dismissing the complaint.
escalation	health_act	14(2)	establish and publish the procedure for the laying of complaints	staff cannot locate the applicable complaints procedure	Obtain the published national or county complaints procedure applicable to the facility through its responsible management team.
escalation	health_act	14(3)(a)	be displayed by all health facilities	a patient cannot find complaint instructions	Ensure the complaints procedure is visibly displayed and communicated to service users.
escalation	health_act	14(3)(b)	primarily handled by the head of the relevant facility	a complaint reaches reception	Route the complaint to the facility head or the person designated to handle user complaints.
escalation	health_act	14(4)	within a period of three months from the date	a complainant asks when a written outcome is due	Route the complaint for the statutory written update within three months of lodging; do not promise a shorter unapproved deadline.
escalation	data_protection_act	43(1)(a)	notify the Data Commissioner without delay	a suspected harmful unauthorized disclosure is discovered	Escalate promptly to the controller's incident team to assess notification to the Data Commissioner without delay and within seventy-two hours of awareness when the statutory threshold applies.
escalation	data_protection_act	43(1)(b)	communicate to the data subject in writing	a harmful breach may require informing affected patients	Have the controller assess written communication to affected patients within a reasonably practical period, including the statutory exceptions.
escalation	data_protection_act	43(2)	the notification shall be accompanied by reasons for the delay	a required breach notification is late	Escalate the late notification to the responsible controller and include reasons for the delay in the notification.
escalation	data_protection_act	43(3)	within forty-eight hours of becoming aware	a processor discovers a patient-data breach	Escalate for notification to the controller without delay and, where reasonably practicable, within forty-eight hours of awareness.
escalation	data_protection_act	43(5)(a)	description of the nature of the data breach	a breach communication is being prepared	Include a description of the nature of the breach in the communication prepared by the responsible incident team.
escalation	data_protection_act	43(5)(b)	intends to take or has taken to address the data breach	a breach communication omits response measures	Include the measures already taken or intended to address the breach.
escalation	data_protection_act	43(5)(c)	mitigate the adverse effects of the security compromise	a breach communication needs patient-protection information	Have the responsible team include recommended protective measures appropriate to the security compromise.
escalation	data_protection_act	43(5)(d)	the identity of the unauthorised person	a breach investigation identifies an unauthorized recipient	Where applicable, include the unauthorized recipient's identity in the communication prepared by the responsible incident team.
escalation	data_protection_act	43(5)(e)	name and contact details of the data protection officer	a breach notice lacks a contact for questions	Include the data protection officer's details where applicable, or another contact point for further information.
escalation	data_protection_act	43(7)	the information may be provided in phases	a breach investigation has incomplete information	Have the responsible team provide information in phases without undue delay when it cannot all be provided at once.
escalation	data_protection_act	43(8)(a)	the facts relating to the breach	an incident is being documented	Record the facts relating to the breach in the controller's incident record.
escalation	data_protection_act	43(8)(b)	its effects	a breach record omits the impact	Record the effects of the breach as part of the controller's incident documentation.
escalation	data_protection_act	43(8)(c)	the remedial action taken	a resolved incident lacks a corrective-action record	Record the remedial action taken as part of the controller's breach documentation.
escalation	data_protection_general_regulations	13(2)(a)	a person exercising the right is appropriately identified	an unidentified person requests a child's data	Route the request for appropriate identification of the person exercising the child's rights before disclosing data.
escalation	data_protection_general_regulations	13(2)(b)	profiling of a child that is related to direct marketing is prohibited	a proposal profiles children for promotional messaging	Escalate and reject the proposed child profiling for direct marketing.
escalation	data_protection_general_regulations	13(3)	uncertain as to the existence of a relationship	a representative's authority to exercise data rights is unclear	Refer the request for verification; the responsible team may restrict it until evidence of the relationship is provided.
